Name,Gender,Reason,Dates
Mohammad Shahab KHANIAN,male,"Mohammad Shahab Khanian is Deputy Chief Executive Officer (CEO) of Shakad Sanat Asmari.; Shakad Sanat Asmari is an Iranian company that develops and manufactures components for the Shahed unmanned aerial vehicles (UAVs).; As the Deputy CEO of Shakad Sanat Asmari, Mohammad Shahab Khanian is therefore supporting and involved in Iran’s UAV programme.",11-12-2023
Ehsan Rahat VARNOSFADRANI,male,"Ehsan Rahat Varnosfadrani is the Chief scientist and former Chief Executive Officer (CEO) of Shakad Sanat Asmari.; Shakad Sanat Asmari is an Iranian company that develops and manufactures components for the Shahed unmanned aerial vehicles (UAVs).; As the Chief scientist and former CEO of Shakad Sanat Asmari, Ehsan Rahat Varnosfadrani is therefore supporting and involved in Iran’s UAV programme.",11-12-2023
Rahmatollah HEIDARI,male,"Rahmatollah Heidari is the Managing Director and a member of the board of directors of Baharestan Kish Company.; Baharestan Kish Company manufactures unmanned aerial vehicle (UAV) components for the Islamic Revolutionary Guard Corps (IRGC).; As the Managing Director and a member of the board of directors of Baharestan Kish Company, Rahmatollah Heidari is therefore supporting and involved in Iran’s UAV programme.",11-12-2023
Nader Khoon SIAVASH,male,"Nader Khoon Siavash is the Director of Aerospace Industries Organization (AIO).; AIO is an organisation which reports to the Iranian Ministry of Defence and Armed Forces Logistics (MODAFL), and is active in Iran’s unmanned aerial vehicle (UAV) programme.; As Director of AIO, Nader Khoon Siavash is therefore supporting and involved in Iran’s UAV programme.",11-12-2023
Ehsan IMANINEJAD,male,"Ehsan Imaninejad is Chief Executive Officer (CEO) of Saad Sazeh Faraz Sharif.; Saad Sazeh Faraz Sharif (a.k.a. Daria Fanavar Borhan Sharif) is an Iranian company that offers aerospace engineering services and manufactures parts of the Shahed unmanned aerial vehicles (UAVs).; As CEO of Saad Sazeh Faraz Sharif, Ehsan Imaninejad is therefore supporting and involved in Iran’s UAV programme.",11-12-2023
Mohammad-Reza Gharaei ASHTIANI,male,"Mohammad-Reza Gharaei Ashtiani has been the Minister of Defence of the Islamic Republic of Iran since August 2021 and is therefore responsible for the EU-listed Ministry of Defence and Armed Forces Logistics (MODAFL).; MODAFL is responsible for the planning, logistics and funding of Iran’s Armed Forces. It is also a key player in Iran’s defence industry with multiple conglomerates and subordinates active in research and development, maintenance and manufacturing of military equipment, including the manufacturing of unmanned aerial vehicles (UAVs).; MODAFL is also involved in the set-up of a joint plant for the production of UAVs and the sale of UAVs to Russia with the intended use in Russia’s war of aggression against Ukraine.; As Defence Minister, Ashtiani is directly involved in Iran’s UAV programme and is involved in transferring Iran’s UAVs to Russia in support of its war of aggression against Ukraine.",31-05-2024
Gholam Ali RASHID,male,"Gholam Ali Rashid has been the commander of the EU-listed Khatam al-Anbiya Central Headquarters (KCHG) since June 2016.; The KCHG is the central entity in the command chain of Iran’s armed forces making operational military decisions, as well as coordinating between Iran’s conventional army (Artesh) and the Islamic Revolutionary Guard Corps (IRGC), which both procure and deploy unmanned aerial vehicles (UAVs).; The KCHG’s mission is to oversee offensive and defensive operations, including through its regional and thematic headquarters such as the ones in the Persian Gulf or Gulf of Oman, which report to the main headquarters. It is also responsible for planning and coordinating joint military operations, including drills.; Gholam Ali Rashid has overseen UAV deployments and supervised UAV battlefield readiness in drills and exercises.; Preceding IRGC and Artesh in the command chain, thereby overseeing all of Iran’s armed forces, intelligence and EU-listed Khatam al-Anbiya Construction Headquarters, Khatam al-Anbiya Central Headquarters is at the core of Iran’s military forces and therefore involved in transferring UAVs to Russia and armed groups in the Middle East and Red Sea region.; Gholam Ali Rashid is therefore involved in Iran’s UAV programme and in transferring UAVs to Russia in support of its war of aggression against Ukraine and to armed groups and entities undermining peace and security in the Middle East and the Red Sea region.",31-05-2024
Hossein Hatefi ARDAKANI,male,"Hossein Hatefi Ardakani serves as chairperson of the board of directors and is a shareholder of Iran-based and EU-listed Kavan Electronics Behrad LLC.; Using a complex network of shell and foreign companies, including EU-listed Kavan Electronics Behrad LLC, Ardakani supports the IRGC SSJO’s efforts in obtaining crucial goods for the UAV production.; As chairperson of the board of Kavan Electronics Behrad LLC, he is responsible for leading the company’s board, defining its strategic objectives and overseeing its business, hence he is involved in transferring Iran’s UAVs to Russia.; Hossein Hatefi Ardakani is therefore supporting Iran’s UAV programme. He is also involved in transferring Iran’s UAVs to Russia in support of its war of aggression against Ukraine.",31-05-2024
Mehdi Dehghani MOHAMMADABADI,male,"Mehdi Dehghani Mohammadabadi serves as CEO, member of the board of directors, as well as a shareholder of the Iran-based and EU-listed Kavan Electronics Behrad LLC.; Kavan Electronics Behrad LLC is a company involved in the supply of unmanned aerial vehicle (UAV) items to the EU-listed Islamic Revolutionary Guard Corps Research and Self-Sufficiency Jihad Organisation (IRGC SSJO).; As CEO, he is responsible for managing and steering the company. As a member of the board, he is involved in all significant decisions the company takes. Hence he is involved in transferring Iran’s UAVs to Russia.; Mehdi Dehghani Mohammadabadi is therefore involved in Iran’s UAV programme. He is also involved in transferring Iran’s UAVs to Russia in support of its war of aggression against Ukraine.",31-05-2024
Ismail QAANI,male,"Ismail Qaani is the Commander of the EU-listed Islamic Revolutionary Guard Corps Qods Force (IRGC-QF).; The IRGC-QF is responsible for orchestrating a network of regional militias that have aggressively expanded Iran’s military influence across the Arab world in recent decades.; Under Qaani’s command, the IRGC-QF facilitates and supports unmanned aerial vehicle (UAV) and missile attacks by transferring Iranian weapons to militias in the Middle East and Red Sea region.; Under Qaani’s orders, the IRGC-QF enables and supports the drone and missile attacks by Houthis.; Therefore, in his capacity as leader of the IRGC-QF, Ismail Qaani is involved in transferring Iran’s missiles and UAVs to armed groups and entities undermining peace and security in the Middle East and Red Sea region.",31-05-2024
Afshin Khaji FARD,male,"Afshin Khaji Fard is the head of the EU-listed Iranian Aviations Industries Organisation (IAIO), a state-owned company under the authority of the EU-listed Ministry of Defence and Armed Forces Logistics (MODAFL).; The IAIO is responsible for planning and managing Iran’s military aviation industry, including developing unmanned aerial vehicles (UAVs).; In his capacity as head of the IAIO, Fard has publicly promoted Iran’s UAV industry and frequently stated that the IAIO is actively involved in innovating Iran’s UAVs.; Therefore, Afshin Khaji Fard is supporting and involved in Iran’s UAV programme.",31-05-2024
Behnam SHAHRIYARI,male,"Behnam Shahriyari is a prominent official of the Islamic Revolutionary Guard Corps (IRGC) Quds Force Unit 190, involved in the logistical aspects of transferring weapons, including rockets and missiles, to Iranian-aligned armed groups in Syria, Lebanon, Iraq and the Occupied Palestinian Territories.; Behnam Shahriyari is therefore involved in the transfer of missiles to armed groups and entities undermining peace and security in the Middle East and the Red Sea region.",14-10-2024
Ali SHADMANI,male,"Ali Shadmani is the deputy coordinator of the EU-listed Islamic Revolutionary Guard Corps (IRGC) Khatam al-Anbiya Central Headquarters (KCHG) and thus associated with an EU-listed entity.; The KCHG is the central entity in the command chain of Iran’s armed forces, making operational military decisions and coordinating between Iran’s conventional army (Artesh) and the IRGC, which both procure and deploy unmanned aerial vehicles (UAVs). The KCHG’s mission is to oversee offensive and defensive operations, including through its regional and thematic headquarters, such as those in the Persian Gulf and the Gulf of Oman, which report to the main headquarters. It is also responsible for planning and coordinating joint military operations, including drills. Preceding IRGC and Artesh in the command chain, thereby overseeing all of Iran’s armed forces, intelligence and EU-listed Khatam al-Anbiya Construction Headquarters, the KCHG is at the core of Iran’s military forces and is involved in the development of Iran’s UAV programme.; As deputy coordinator of the KCHG, Shadmani has been actively promoting Iran’s defence capabilities, including drones and missiles, on multiple occasions, including in Russia, in recent years.; Therefore, Ali Shadmani is associated with an EU-listed entity involved in Iran’s UAV and missile programme and is involved in transferring UAVs to Russia in support of its war of aggression against Ukraine.",14-10-2024
Ali JAFARABADI,male,"Ali Jafarabadi is the commander of the Islamic Revolutionary Guard Corps (IRGC) Aerospace Force Space Division.; The IRGC Aerospace Force Space Division has operational control over several Iranian missile systems and is involved in the development and future launch of satellite carriers, which are essential for the development of long-range ballistic missile systems, which Iran continues to develop.; Therefore, Ali Jafarabadi is involved in the development of the Iranian missile programme.",14-10-2024
Mehdi GOGERDCHIAN,male,"Mehdi Gogerdchian is the managing director of EU-listed Iran Aircraft Manufacturing Industries (HESA). The company is controlled by the EU-listed Iran Aviation Industries Organization (IAIO), a subsidiary of the EU-listed Iranian Ministry of Defence and Armed Forces Logistics (MODAFL), which is responsible for planning and managing Iran’s military aviation industry.; HESA specialises in the development and manufacturing of unmanned aerial vehicles (UAVs), especially Shahed drones, which are being used by Russia in its war against Ukraine.; Mehdi Gogerdchian is therefore involved in Iran’s UAV programme.",14-10-2024
Seyed Hamzeh GHALANDARI,male,"Seyed Hamzeh Ghalandari is the deputy defence minister of Iran, with a focus on international affairs within the ministry.; The EU-listed Iranian Ministry of Defence and Armed Forces Logistics (MODAFL) is responsible for the Iranian arms industry, including unmanned aerial vehicles (UAVs) and ballistic missiles.; In light of his high-level role as deputy defence minister, Seyed Hamzeh Ghalandari is involved in the development of Iran’s UAV and missile programmes.",14-10-2024
Reza Khosravi MOGHADDAM,male,"Reza Khosravi Moghaddam is the military attaché of the Iranian embassy in Russia, representing and promoting his country’s defence industry. He is responsible for bilateral relations in this field.; In his function, Moghaddam is a forward element of the Iranian EU-listed Ministry of Defence and Armed Forces Logistics (MODAFL). MODAFL is responsible for the Iranian arms industry, including the development and production of military weapons, such as unmanned aerial vehicles (UAVs) and ballistic missiles.; In his role, Moghaddam actively promotes the defence industry of Iran, and in particular the arms trade between Iran and Russia , thereby promoting Iran’s UAV and missile programmes.; Iran has been supplying Russia with UAVs and ballistic missiles that are being deployed by Russia against Ukraine.; Therefore, Reza Khosravi Moghaddam is involved in Iran’s UAV and missile programme.",14-10-2024
Seid Mir Ahmad NOOSHIN,male,"Seid Mir Ahmad Nooshin is the director of EU-listed Aerospace Industries Organisation (AIO). The AIO is an organisation which reports to the EU-listed Iranian Ministry of Defence and Armed Forces Logistics (MODAFL) and plays a key role in Iran’s unmanned aerial vehicle (UAV) and ballistic missile programmes. The AIO oversees Iran’s production of missiles, including by EU-listed entities Shahid Hemmat Industries Group (SHIG) and Shahid Baheri Industrial Group (SBIG).; Seid Mir Ahmad Nooshin is therefore involved in Iran’s missile programme.",14-10-2024
